Ă Í
ă Ù
Đ K
đ Ắ
Ĩ Ọ
ĩ t
A V
B P
C Ẽ
D Ú
E Ầ
G D
H Ạ
I Ò
K ỹ
L v
M ệ
N ừ
O p
P k
Q ấ
R ổ
S d
T ã
U ó
V Ì
X Ữ
Y Q
a Ẹ
b Ẩ
c Ộ
d Đ
e Ỏ
g x
h í
Ũ Ồ
i ử
ũ ư
k q
l ẽ
m ú
n l
o ầ
p ạ
q ò
r Y
s Ỉ
t Ự
u R
v Ủ
x M
y Ẫ
Ơ ợ
Ạ A
ơ đ
ạ ế
Ả Ằ
ả ự
Ấ ù
ấ ằ
Ầ m
ầ õ
Ẩ ẩ
ẩ ă
Ẫ ộ
ẫ Ị
Ậ e
ậ Ỳ
Ắ y
Ư X
ắ ủ
ư Ế
Ằ ì
ằ n
Ẳ ữ
ẳ ẫ
Ẵ r
ẵ ớ
Ặ ẹ
ặ ê
Ẹ Ý
ẹ É
Ẻ a
ẻ Ụ
Ẽ Ĩ
ẽ O
Ế S
ế Ở
À E
Ề Ề
Á Ớ
ề G
Â Ử
Ể Ũ
Ã Õ
ể Ẵ
Ễ N
ễ Ố
Ệ Ậ
ệ Â
È ỏ
Ỉ Ẳ
É ắ
ỉ ý
Ê Ỗ
Ị Ă
ị ề
Ì Ê
Ọ g
Í Ờ
ọ Ỹ
Ỏ ậ
ỏ b
Ố ẳ
ố Ư
Ò o
Ồ ọ
Ó ũ
ồ Ệ
Ô ẻ
Ổ â
Õ ờ
ổ Ừ
Ỗ á
ỗ Ơ
Ộ Ỷ
Ù H
ộ Ẻ
Ớ U
Ú Ỡ
ớ Ợ
Ờ Ễ
Ý ụ
ờ I
Ở Ứ
ở Ấ
à ỉ
Ỡ Ô
á Á
ỡ Ổ
â L
Ợ È
ã s
ợ C
Ụ B
ụ ễ
Ủ Ặ
ủ ỷ
è Ể
Ứ Ả
é T
ứ ứ
ê ỵ
Ừ ị
ừ ơ
ì ĩ
Ử ỳ
í À
ử è
Ữ u
ữ ỡ
Ự ể
ự i
Ỳ ô
ò ố
ó ẵ
ỳ ồ
ô ỗ
Ỵ h
õ à
ỵ Ỵ
Ỷ é
ỷ c
Ỹ ở
ù Ó
ỹ ả
ú Ã
ý ặ
